Persona Name,Last delivered date (impr>0),Overall impressions till date,Key Value(s) (Persona ID),Days since last delivered,Status / Note,Recommendation
Business IT Decision Maker,2026-06-02,14814963,545,1,Active,Keep - active
Key U.K. Opinion Leaders,2026-06-02,23301147,514,1,Active,Keep - active
Key U.S. Opinion Leaders,2026-06-02,51904821,513,1,Active,Keep - active
Logistics Coordinator,2026-06-02,1209198,511,1,Active,Keep - active
B2B Audience,2026-06-02,1171587,510,1,Active,Keep - active
Future Forward Leader,2026-06-02,72289960,504,1,Active,Keep - active
Pop Culture Enthusiast,2026-06-02,30297091,498,1,Active,Keep - active
Employee Advocate,2026-06-02,35810329,492,1,Active,Keep - active
Healthcare Innovator,2026-06-02,104015805,"491, 477",1,Active,Keep - active
Innovation Leader,2026-06-02,374184672,"490, 474",1,Active,Keep - active
World Traveler,2026-06-02,344377560,483,1,Active,Keep - active
Healthcare Innovator,2026-06-02,104015805,"491, 477",1,Active,Keep - active
AI Enthusiasts,2026-06-02,203541649,476,1,Active,Keep - active
Innovation Leader,2026-06-02,374184672,"490, 474",1,Active,Keep - active
Icon Emulators,2026-06-02,24257992,473,1,Active,Keep - active
Influencer Enthusiast,2026-06-02,54548554,472,1,Active,Keep - active
Rising Star Enthusiasts,2026-06-02,49339628,464,1,Active,Keep - active
Political Enthusiast,,0,460,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Sustainability Advocate,2026-06-02,77156952,458,1,Active,Keep - active
Sustainability-Oriented Executive,2026-06-02,6410217,446,1,Active,Keep - active
Sustainability-Focused Executive,2026-06-02,7751991,445,1,Active,Keep - active
Strategic Leader,2026-06-02,395467431,425,1,Active,Keep - active
Impact-Driven Investor,2026-06-02,26244519,422,1,Active,Keep - active
Dedicated Healthcare Professional,2026-06-02,33238331,421,1,Active,Keep - active
Strategic Executive,2026-06-02,240185318,420,1,Active,Keep - active
Technology Leader,2026-06-02,111551614,418,1,Active,Keep - active
Mental Health Innovator,2026-06-02,62926071,417,1,Active,Keep - active
State of the Art Savvies,2026-06-02,278120307,393,1,Active,Keep - active
DC Policy Makers,2026-06-02,13870845,392,1,Active,Keep - active
Star Wars Ice Cream Enthusiast,,0,387,,Mapped but no GAM delivery,REMOVE - never delivered (0 impressions)
Corporate Executive,2026-06-02,170732694,372,1,Active,Keep - active
C-Suite Leader,2026-06-02,165361912,371,1,Active,Keep - active
Business Leader,2026-06-02,40822997,370,1,Active,Keep - active
